prefecture,city,number,address,name,lat,long
埼玉県,さいたま市,01-02,北区別所町４２番地１,市立大宮別所小学校西側フェンス,35.9551726,139.597547
埼玉県,さいたま市,01-02,北区別所町３４番地,神明公園北側フェンス,35.9547035,139.598776
埼玉県,さいたま市,01-02,北区別所町６７番地,庚申公園南側フェンス,35.9581389,139.5978584
埼玉県,さいたま市,01-02,北区別所町７５番地,東公園西側フェンス,35.9603852,139.5964274
埼玉県,さいたま市,01-02,北区別所町９５番地,別所公園南側フェンス,35.9573691,139.595494
埼玉県,さいたま市,01-02,北区別所町１１９番地,小山公園北側フェンス,35.9573691,139.595494
埼玉県,さいたま市,01-02,北区別所町１０００番地３８,別所北公園南側フェンス,35.9545478,139.5935924
埼玉県,さいたま市,01-02,北区別所町１１２５番地２０,滝宮公園南側フェンス,35.9590228,139.5998152
埼玉県,さいたま市,01-02,北区吉野町２丁目２５１番地５,吉野緑地公園北側,35.9612697,139.6107865
埼玉県,さいたま市,01-02,北区吉野町１丁目４０８番地１,浅間公園北側フェンス,35.9531601,139.6133356
埼玉県,さいたま市,01-02,北区吉野町２丁目１８番地７,吉野団地公園東側フェンス,35.9612697,139.6107865
埼玉県,さいたま市,01-02,北区吉野町２丁目２５番地１,諏訪公園東側フェンス,35.9612697,139.6107865
埼玉県,さいたま市,01-02,北区吉野町２丁目２１３番地,つつじヶ丘公園西側フェンス,35.9612697,139.6107865
埼玉県,さいたま市,01-02,北区吉野町２丁目１９５番地１,宮原コミュニティセンター南側駐車場入口付近,35.9585662,139.600959
埼玉県,さいたま市,01-02,北区吉野町２丁目２３６番地１,神山公園北側フェンス,35.9622867,139.6093726
埼玉県,さいたま市,01-02,北区今羽町５９６番地,市立泰平中学校西側フェンス,35.9484689,139.6262764
埼玉県,さいたま市,01-02,北区今羽町４７７番地２４,今羽町団地中央公園西側入口横フェンス,35.9482819,139.6239722
埼玉県,さいたま市,01-02,北区今羽町２４４番地２,市営今羽住宅内広場西側フェンス,35.9544098,139.6216981
埼玉県,さいたま市,01-02,北区今羽町４７７番地３２,今羽町団地西公園南側フェンス,35.9482819,139.6239722
埼玉県,さいたま市,01-02,北区今羽町６２８番地,市立泰平小学校西側フェンス,35.9527117,139.6235333
埼玉県,さいたま市,01-02,北区今羽町１１４番地２,今羽中公園東側,35.951883,139.6218292
埼玉県,さいたま市,01-02,北区今羽町４７７番地３,リ・コンフェリーレ今羽町南 中島都市下水路北側,35.9482819,139.6239722
埼玉県,さいたま市,01-02,北区宮原町４丁目６６番地４,宮原公民館東側,35.9469755,139.6110689
埼玉県,さいたま市,01-02,北区宮原町４丁目４２番地,松原公園南側フェンス,35.9452737,139.6107865
埼玉県,さいたま市,01-02,北区吉野町１丁目８番地５,前谷公園西側,35.9476502,139.618655
埼玉県,さいたま市,01-02,北区吉野町１丁目４２番地,仲原公園西側フェンス,35.9531601,139.6133356
埼玉県,さいたま市,01-02,北区吉野町１丁目３７９番地１,吉野公園西側フェンス,35.9528315,139.6123157
埼玉県,さいたま市,01-02,北区吉野町１丁目３８５番地１,夷屋公園東側フェンス,35.9531601,139.6133356
埼玉県,さいたま市,01-02,北区吉野町１丁目３７９番地１,吉野公園南側フェンス,35.9528315,139.6123157
埼玉県,さいたま市,01-02,北区宮原町４丁目４２番地,松原公園北側植込み,35.9452737,139.6107865
埼玉県,さいたま市,01-02,北区宮原町４丁目１０２番地６,市立宮原小学校西側フェンス,35.949326,139.605818
埼玉県,さいたま市,01-02,北区宮原町４丁目１１５番地,鍛治公園東側フェンス,35.9452737,139.6107865
埼玉県,さいたま市,01-02,北区宮原町４丁目１２１番地,領家北公園北側 入口右側フェンス,35.9452737,139.6107865
埼玉県,さいたま市,01-02,北区宮原町４丁目１２９番地,市立宮原中学校北側フェンス,35.9452737,139.6107865
埼玉県,さいたま市,01-02,北区宮原町４丁目９１番地,領家中央公園南側フェンス,35.9452737,139.6107865
埼玉県,さいたま市,01-02,北区宮原町４丁目１９番地,領家南公園東側フェンス,35.9452737,139.6107865
埼玉県,さいたま市,01-02,北区宮原町４丁目９８番地２,宮原４丁目公園東側入口右側フェンス,35.9452737,139.6107865
埼玉県,さいたま市,01-02,北区奈良町１２５番地６,市立奈良保育園西側フェンス,35.9491032,139.5979903
埼玉県,さいたま市,01-02,北区奈良町１３６番地先,奈良町ＢＣ団地４号棟西向側フェンス,35.9501053,139.5973944
埼玉県,さいたま市,01-02,北区奈良町１３６番地５０,奈良町ＢＣ団地３号棟南側奈良公園フェンス,35.9501053,139.5973944
埼玉県,さいたま市,01-02,北区奈良町１６５番地３,奈良北公園北側フェンス,35.9480065,139.600591
埼玉県,さいたま市,01-02,北区奈良町１６２番地８,松本医院北側水路フェンス,35.9537561,139.594469
埼玉県,さいたま市,01-02,北区奈良町１３５番地３,市営奈良住宅集会所北側フェンス,35.9488127,139.5972395
埼玉県,さいたま市,01-02,北区奈良町１３４番地２,市営奈良住宅２号棟東側フェンス,35.9480065,139.600591
埼玉県,さいたま市,01-02,北区奈良町９１番地１,市立大宮北高等学校北側フェンス,35.9459749,139.6008619
埼玉県,さいたま市,01-02,北区奈良町７９番地７８,奈良団地第２公園東側 入口左側フェンス,35.9480065,139.600591
埼玉県,さいたま市,01-02,北区奈良町９１番地１,市立大宮北高等学校東側フェンス,35.9459749,139.6008619
埼玉県,さいたま市,01-02,北区奈良町９４番地２,奈良町自治会館東側フェンス,35.9479823,139.6015309
埼玉県,さいたま市,01-02,北区奈良町７９番地１３５,奈良団地第１公園西側フェンス,35.9480065,139.600591
埼玉県,さいたま市,01-02,北区奈良町９１番地１,市立大宮北高等学校南側フェンス,35.9459749,139.6008619
埼玉県,さいたま市,01-02,北区奈良町３０番地１０,さいたま市ふれあい広場西側フェンス,35.9465943,139.6040453
埼玉県,さいたま市,01-02,北区日進町３丁目２０９番地,市立日進北小学校西側正門横フェンス,35.9368576,139.6040204
埼玉県,さいたま市,01-02,北区日進町３丁目２７８番地２,西谷第２公園内北側フェンス,35.9357783,139.6002642
埼玉県,さいたま市,01-02,北区日進町３丁目２０９番地,市立日進北小学校北側フェンス,35.9368576,139.6040204
埼玉県,さいたま市,01-02,北区日進町３丁目３８９番地,住宅東向側フェンス,35.9373498,139.5989449
埼玉県,さいたま市,01-02,北区日進町３丁目４７８番地２,宇賀神会計事務所南側畑,35.9382096,139.6064113
埼玉県,さいたま市,01-02,北区日進町３丁目６９８番地,県営大宮日進あかしや団地東側フェンス,35.9397384,139.6038987
埼玉県,さいたま市,01-02,北区日進町３丁目７１７番地,県営大宮日進さつき団地南側フェンス,35.9392846,139.6052506
埼玉県,さいたま市,01-02,北区日進町２丁目１９１５番地４,産業振興会館北側入口付近,35.9330466,139.6090739
埼玉県,さいたま市,01-02,北区日進町３丁目３２番地８,西谷第１公園西側入口右側フェンス,35.9334951,139.6015608
埼玉県,さいたま市,01-02,北区日進町２丁目１１２５番地,日進駅第１自転車駐車場 北側フェンス,35.931765,139.6063059
埼玉県,さいたま市,01-02,北区日進町３丁目２０９番地,市立日進北小学校南側フェンス,35.9368576,139.6040204
埼玉県,さいたま市,01-02,北区日進町２丁目１４６４番地,番場公園東側フェンス,35.9294995,139.6056885
埼玉県,さいたま市,01-02,北区日進町２丁目１４９９番地,上加自然の森北西角木柵,35.9294995,139.6056885
埼玉県,さいたま市,01-02,北区日進町２丁目１４６４番地,番場公園東側フェンス（花と木の広場入口付近）,35.9294995,139.6056885
埼玉県,さいたま市,01-02,北区日進町２丁目１９１６番地２他,うねうね公園北側入口付近 鉄塔横,35.9351944,139.6086981
埼玉県,さいたま市,01-02,北区宮原町３丁目２８２番地,宮原町３丁目自治会館南側入口横フェンス,35.9389377,139.6117416
埼玉県,さいたま市,01-02,北区宮原町３丁目３６４番地１ 北中ビル南側,宮原駅東口公園,35.9412565,139.6095425
埼玉県,さいたま市,01-02,北区宮原町３丁目,宮原駅西口ロータリー植込み,35.9375883,139.6101492
埼玉県,さいたま市,01-02,北区宮原町３丁目５４７番地付近,宮原ロイヤルハイツ東側 水路フェンス,35.9399216,139.6081001
埼玉県,さいたま市,01-02,北区東大成町２丁目７４１番地,ロイヤルシティ北側 東大成2丁目北公園北側フェンス,35.9339575,139.6127392
埼玉県,さいたま市,01-02,北区宮原町３丁目４３９番地２,住宅西側水路フェンス,35.9422147,139.6070626
埼玉県,さいたま市,01-02,北区宮原町３丁目５８１番地先,サンパーク宮原西№４ 西側水路フェンス,35.9375883,139.6101492
埼玉県,さいたま市,01-02,北区宮原町２丁目３９番地,宮原町２丁目自治会館西側入口横フェンス,35.941247,139.614986
埼玉県,さいたま市,01-02,北区宮原町２丁目３９番地,宮原町２丁目自治会館東側入口横フェンス,35.941247,139.614986
埼玉県,さいたま市,01-02,北区宮原町２丁目７４番地,宮原南公園東側フェンス,35.9404783,139.6158849
埼玉県,さいたま市,01-02,北区宮原町２丁目７９番地,宮原公園北側フェンス,35.9404783,139.6158849
埼玉県,さいたま市,01-02,北区宮原町２丁目９８番地,原殿公園南側フェンス,35.946238,139.6175618
埼玉県,さいたま市,01-02,北区宮原町２丁目１２５番地,東宮原ぼうさい広場南側,35.9404783,139.6158849
埼玉県,さいたま市,01-02,北区宮原町２丁目９８番地,原殿公園北側フェンス,35.946238,139.6175618
埼玉県,さいたま市,01-02,北区宮原町２丁目１２５番地,東宮原ぼうさい広場西側駐車場入口付近,35.9404783,139.6158849
埼玉県,さいたま市,01-02,北区本郷町１番地,市立大砂土小学校東側フェンス,35.9380023,139.6270102
埼玉県,さいたま市,01-02,北区本郷町１番地,市立大砂土小学校北側東寄りフェンス,35.9380023,139.6270102
埼玉県,さいたま市,01-02,北区本郷町１番地,市立大砂土小学校西側フェンス,35.9380023,139.6270102
埼玉県,さいたま市,01-02,北区本郷町９２番地１,本郷第６公園北側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町２８６番地,大宮災害対策庫北側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町６５５番地１,本郷第４公園南側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町６５５番地１,本郷第４公園西側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町９２番地１,本郷第６公園南側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町１１２２番地,本郷会館入口東側,35.9441679,139.6263241
埼玉県,さいたま市,01-02,北区本郷町８９０番地１,本郷第１公園北側入口左側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町１１５７番地１,本郷第５公園北側入口左側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町１２５７番地１,本郷第３公園東側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町１４５７番地,本郷第２公園東側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町１４５７番地,本郷第２公園西側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区本郷町１１５７番地,本郷第５公園南側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区見沼３丁目７５番地,市立土呂中学校東側正門左側フェンス,35.9393486,139.6370553
埼玉県,さいたま市,01-02,北区土呂町２丁目１５番地,神明西公園西側フェンス,35.9304322,139.6362829
埼玉県,さいたま市,01-02,北区土呂町２丁目２４番地１,彩の国さいたま人づくり広域連合 自治人材開発センター入口左側フェンス,35.9291614,139.6331145
埼玉県,さいたま市,01-02,北区土呂町２丁目４２番地,大宮弁天公園西側フェンス,35.9304322,139.6362829
埼玉県,さいたま市,01-02,北区土呂町２丁目８３番地２,見沼公園西側フェンス,35.9304322,139.6362829
埼玉県,さいたま市,01-02,北区見沼３丁目７５番地,市立土呂中学校西側フェンス,35.9393486,139.6370553
埼玉県,さいたま市,01-02,北区土呂町２丁目４９番地,見晴公園西側,35.9304322,139.6362829
埼玉県,さいたま市,01-02,北区見沼２丁目94番地,見沼グリーンセンター南側,35.9321012,139.6381158
埼玉県,さいたま市,01-02,北区土呂町３５２番地,市立植竹中学校西側正門横フェンス,35.9346289,139.6275608
埼玉県,さいたま市,01-02,北区土呂町３５２番地,市立植竹中学校東側フェンス,35.9346289,139.6275608
埼玉県,さいたま市,01-02,北区土呂町１丁目１３番地,富士見公園北側,35.9312357,139.6298321
埼玉県,さいたま市,01-02,北区土呂町１丁目４２番地,土呂公園西側フェンス,35.9352307,139.6311827
埼玉県,さいたま市,01-02,北区土呂町１丁目４２番地,土呂公園東側フェンス,35.9352307,139.6311827
埼玉県,さいたま市,01-02,北区土呂町３５２番地,市立植竹中学校南側フェンス,35.9346289,139.6275608
埼玉県,さいたま市,01-02,北区土呂町１丁目３６番地１６,土呂西公園東側入口左側フェンス,35.9352307,139.6311827
埼玉県,さいたま市,01-02,北区本郷町１５６２番地１,本郷第７公園南側フェンス,35.943972,139.6273579
埼玉県,さいたま市,01-02,北区宮原町１丁目８５２番地１,プラザノース正面北区役所側入口付近,35.9315024,139.620187
埼玉県,さいたま市,01-02,北区宮原町１丁目８７番地４,宮原町１丁目南公園南側入口横フェンス,35.933672,139.6193195
埼玉県,さいたま市,01-02,北区宮原町１丁目５５５番地１,中島東公園南側フェンス,35.9380172,139.6216397
埼玉県,さいたま市,01-02,北区宮原町１丁目４２８番地,住宅東側水路フェンス,35.9369547,139.6200312
埼玉県,さいたま市,01-02,北区宮原町１丁目２４６番地,宮原１丁目子供公園北側フェンス,35.9356818,139.6209837
埼玉県,さいたま市,01-02,北区宮原町１丁目８５２番地１,プラザノース東側（図書館側）入口付近,35.9315024,139.620187
埼玉県,さいたま市,01-02,北区宮原町１丁目１８４番地２４,加茂宮公園西側フェンス,35.9352825,139.6242328
埼玉県,さいたま市,01-02,北区宮原町１丁目２２４番地先,ＪＡさいたま あぐりセンター駐車場西側水路フェンス,35.9359403,139.6205188
埼玉県,さいたま市,01-02,北区東大成町２丁目１２番地,市立東大成小学校東側正門横フェンス,35.9277938,139.6184342
埼玉県,さいたま市,01-02,北区東大成町２丁目１２番地,市立東大成小学校北側フェンス,35.9277938,139.6184342
埼玉県,さいたま市,01-02,北区東大成町２丁目１２番地,市立東大成小学校西側フェンス,35.9277938,139.6184342
埼玉県,さいたま市,01-02,北区東大成町２丁目445番地１,水道総合センター東側,35.9291073,139.6198285
埼玉県,さいたま市,01-02,北区東大成町２丁目７３６番地１先,陶芸会館北向側駐車場フェンス,35.9345238,139.6134979
埼玉県,さいたま市,01-02,北区東大成町２丁目３９０番地,砂久保遊園地西側入口横フェンス,35.9287463,139.6171894
埼玉県,さいたま市,01-02,北区東大成町２丁目４０４番地２,東大成２丁目公園南側入口横フェンス,35.9277938,139.6184342
埼玉県,さいたま市,01-02,北区日進町２丁目６３５番地,松原自治会館西側フェンス,35.9300824,139.6092165
埼玉県,さいたま市,01-02,北区日進町２丁目１１１番地１,松原東公園北側入口横水路フェンス,35.9294995,139.6056885
埼玉県,さいたま市,01-02,北区日進町２丁目２０３番地,松原第１公園西側フェンス,35.9312317,139.6097619
埼玉県,さいたま市,01-02,北区日進町２丁目６３４番地,松原中央公園東側フェンス,35.9294995,139.6056885
埼玉県,さいたま市,01-02,北区日進町２丁目７０２番地,松原第３公園南側フェンス,35.9311693,139.6089292
埼玉県,さいたま市,01-02,北区日進町２丁目１０７２番地,ＪＲ大宮日進第２アパート１号棟北側フェンス,35.9294666,139.6054496
埼玉県,さいたま市,01-02,北区日進町２丁目１０７２番地,ＪＲ大宮日進第２アパート２号棟南側フェンス,35.9294666,139.6054496
埼玉県,さいたま市,01-02,北区日進町２丁目９１８番地,市立日進小学校西側正門横フェンス,35.925202,139.6075815
埼玉県,さいたま市,01-02,北区日進町２丁目４８０番地,埼玉大学附属特別支援学校北側フェンス,35.9258706,139.6096553
埼玉県,さいたま市,01-02,北区大成町４丁目７１２番地,㈲大成精密西向側雑木林,35.9288333,139.6137955
埼玉県,さいたま市,01-02,北区日進町２丁目４８０番地,埼玉大学附属特別支援学校西側フェンス,35.9258706,139.6096553
埼玉県,さいたま市,01-02,北区日進町２丁目９１８番地,市立日進小学校北側フェンス,35.925202,139.6075815
埼玉県,さいたま市,01-02,北区日進町２丁目９１８番地,市立日進小学校南側フェンス,35.925202,139.6075815
埼玉県,さいたま市,01-02,北区日進町２丁目１１８５番地,上加公園北側フェンス,35.9294995,139.6056885
埼玉県,さいたま市,01-02,北区大成町４丁目７１４番地３,大成４丁目西公園東側フェンス,35.9289456,139.6142391
埼玉県,さいたま市,01-02,北区日進町１丁目５５１番地,日進町１丁目自治会館西側,35.9235307,139.6043126
埼玉県,さいたま市,01-02,北区日進町１丁目５５１番地,日進町１丁目自治会館南側,35.9235307,139.6043126
埼玉県,さいたま市,01-02,北区日進町１丁目７０１番地１,旧日進学校給食センター南側正門横フェンス,35.9253628,139.5983196
埼玉県,さいたま市,01-02,北区日進町１丁目７０１番地１,旧日進学校給食センター東側フェンス,35.9253628,139.5983196
