prefecture,city,number,address,name,lat,long
埼玉県,さいたま市,01-01,西区大字峰岸14番地5,穂積神社遊園地 入口フェンス,35.9295752,139.5576395
埼玉県,さいたま市,01-01,西区大字峰岸68番地,市営峰岸住宅 西側フェンス,35.9319402,139.555109
埼玉県,さいたま市,01-01,西区大字峰岸83番地8,峰岸北公園 東側フェンス,35.9322962,139.5560137
埼玉県,さいたま市,01-01,西区大字宝来413番地,住宅 南側交差点の南西側水路フェンス,35.9248766,139.5547333
埼玉県,さいたま市,01-01,西区大字宝来880番地1,北部配水場 東側フェンス,35.9241152,139.556552
埼玉県,さいたま市,01-01,西区大字宝来1280番地2,中宝来自治会館 北側水路フェンス,35.9229191,139.5598963
埼玉県,さいたま市,01-01,西区大字宝来1062番地,大宮国際カントリー 入口看板の反対側水路フェンス,35.92126,139.55605
埼玉県,さいたま市,01-01,西区大字中釘1506番地1,市立指扇北小学校 北側正門 水路フェンス,35.9331982,139.5712781
埼玉県,さいたま市,01-01,西区大字中釘2060番地,中釘自治会館 東側ブロック塀,35.9380556,139.5720949
埼玉県,さいたま市,01-01,西区大字高木1572番地6,高木天神公園 南側フェンス,35.9387006,139.5767156
埼玉県,さいたま市,01-01,西区大字中釘1673番地3,指扇北部自警消防団 サイレン塔フェンス,35.9346028,139.567468
埼玉県,さいたま市,01-01,西区大字中釘1241番地,秋葉の森総合公園 駐車場入口脇の植込み,35.9332609,139.5679875
埼玉県,さいたま市,01-01,西区西大宮4丁目49番地,西大宮4丁目第一公園 西側フェンス,35.9333288,139.5770208
埼玉県,さいたま市,01-01,西区大字高木567番地3,市立指扇保育園 東側フェンス,35.9274793,139.570779
埼玉県,さいたま市,01-01,西区大字中釘806番地,秋葉神社公園 南側フェンス,35.9303767,139.5648114
埼玉県,さいたま市,01-01,西区西大宮3丁目4番地2,西区役所西側駐車場 南側の植込み,35.9252445,139.5798299
埼玉県,さいたま市,01-01,西区大字指扇1653番地1,古茂塚北公園 北側の植込み,35.9178454,139.5826881
埼玉県,さいたま市,01-01,西区大字清河寺619番地3,清河寺バス停 東側道路フェンス,35.93622,139.5827532
埼玉県,さいたま市,01-01,西区西大宮1丁目43番地,西大宮1丁目第二公園 北側フェンス,35.9225304,139.575747
埼玉県,さいたま市,01-01,西区大字清河寺1260番地1,三共リース㈱ 道路向かい側の路肩,35.93622,139.5827532
埼玉県,さいたま市,01-01,西区西大宮3丁目48番地,西消防署 南側フェンス,35.9283337,139.5802054
埼玉県,さいたま市,01-01,西区西大宮1丁目5番地2,西大宮１丁目第一公園 北側フェンス,35.923607,139.5813297
埼玉県,さいたま市,01-01,西区西大宮3丁目12番地2,西大宮３丁目第一公園 西側フェンス,35.9262096,139.5801678
埼玉県,さいたま市,01-01,西区大字内野本郷965番地1,内野本郷大空公園 西側フェンス,35.9377572,139.5917013
埼玉県,さいたま市,01-01,西区大字西新井124番地,大宮花の丘農林公苑 西側駐車場南側フェンス,35.9418209,139.5853012
埼玉県,さいたま市,01-01,西区大字西新井64番地5,西新井自治会館 西側正門 右側フェンス,35.8913542,139.7600332
埼玉県,さいたま市,01-01,西区大字内野本郷971番地63,上野原北公園 東側フェンス,35.9388163,139.591858
埼玉県,さいたま市,01-01,西区大字内野本郷693番地16,共栄橋付近 歩道フェンス,35.9358846,139.596818
埼玉県,さいたま市,01-01,西区大字内野本郷550番地6,セキ薬局・ミニストップの間 歩道植込み,35.9357734,139.5929456
埼玉県,さいたま市,01-01,西区大字内野本郷449番地1,内野本郷バス停向かい側 歩道植込み,35.9345257,139.5922886
埼玉県,さいたま市,01-01,西区宮前町1634番地,宮前町二丁目自治会館 西側,35.9295583,139.5955701
埼玉県,さいたま市,01-01,西区宮前町1467番地,市立宮前中学校 北西側フェンス,35.9301807,139.5986133
埼玉県,さいたま市,01-01,西区宮前町822番地2,㈱日新化成 向かい側道路フェンス,35.9274831,139.5865752
埼玉県,さいたま市,01-01,西区宮前町1467番地,市立宮前中学校 南西側フェンス,35.9301807,139.5986133
埼玉県,さいたま市,01-01,西区宮前町832番地1,住宅 南側水路フェンス,35.9274831,139.5865752
埼玉県,さいたま市,01-01,西区宮前町1102番地1,宮前ＩＣ付近 道路フェンス,35.9274831,139.5865752
埼玉県,さいたま市,01-01,西区宮前町376番地4,宮前公園 西側フェンス,35.9243468,139.5959115
埼玉県,さいたま市,01-01,西区三橋6丁目1558番地,市立大宮西中学校 西側フェンス,35.9164589,139.5903973
埼玉県,さいたま市,01-01,西区三橋6丁目1709番地3,三橋プール 南側フェンス,35.921919,139.5852141
埼玉県,さいたま市,01-01,西区三橋6丁目1587番地,総合療育ｾﾝﾀｰひまわり学園 西側入口 左側フェンス,35.9208456,139.590054
埼玉県,さいたま市,01-01,西区宮前町541番地11,県南交通前交差点 北東向側フェンス,35.9257193,139.5914283
埼玉県,さいたま市,01-01,西区三橋6丁目1181番地5,シティハイツ大宮三橋 ８号棟西側フェンス,35.9171841,139.5852798
埼玉県,さいたま市,01-01,西区三橋6丁目1181番地7,西第二公園 南側フェンス,35.9169441,139.5855689
埼玉県,さいたま市,01-01,西区三橋6丁目1048番地1,西第三公園 南側フェンス（西部文化センターの向い側）,35.9164589,139.5903973
埼玉県,さいたま市,01-01,西区三橋6丁目1587番地,総合療育ｾﾝﾀｰひまわり学園 南側フェンス,35.9208456,139.590054
埼玉県,さいたま市,01-01,西区三橋6丁目381番地1,市立三橋西保育園 入口西側フェンス,35.9128889,139.5860514
