番号,掲示場番号,住所,名称
1,1-1,京橋１丁目１９番１３号先,楓川久安橋公園
2,1-2,京橋２丁目１８番１号先,弾正橋北西側欄干
3,1-3,銀座１丁目２番,高速道路入口脇銀座一丁目緑地帯
4,1-4,銀座１丁目２５番２号,京橋公園西側
5,1-5,銀座１丁目１６番３号先,銀座１丁目１６番先緑地
6,1-6,新富１丁目２番６号,桜橋ポンプ所
7,1-7,新富２丁目１番先,楓川新富橋公園柵
8,2-1,銀座５丁目１番１３号,泰明小学校正門右側
9,2-2,銀座８丁目１９番先,築地川千代橋公園北西側緑地
10,2-3,銀座８丁目１９番１５号,銀座中学校入口左側
11,3-1,築地１丁目１番１号,中央区役所南東側
12,3-2,築地２丁目１３番１号,京橋築地小学校南東側
13,3-3,築地４丁目１５番１号,築地社会教育会館正面右側
14,3-4,築地７丁目１９番１号,あかつき公園冒険広場（築地川公園側）
15,3-5,築地７丁目１９番１号,あかつき公園冒険広場
16,3-6,築地７丁目１8番5号,明石町ポンプ所
17,4-1,明石町１番７号,ラ・ヴェール明石町北側緑地
18,4-2,明石町１番,築地川公園(カルバート入口北)
19,4-3,明石町４番６号先,グランスイート明石町前明石町緑道
20,4-4,明石町７番８号付近,佃大橋自転車入口横の植込み
21,4-5,明石町１２番１号,あかつき公園植込
22,5-1,入船１丁目１番,桜川公園桜川敬老館側緑地
23,5-2,湊１丁目４番１号,中央小学校南側
24,5-3,湊１丁目５番１号,鉄砲洲児童公園西側
25,5-4,湊１丁目８番１０号先,南高橋北東緑地帯
26,5-5,湊１丁目１番,桜橋第二ポンプ所鉄柵
27,6-1,八丁堀１丁目１４番７号,亀島橋袂緑地帯
28,6-2,八丁堀３丁目１番２０号先,楓川宝橋公園
29,6-3,八丁堀３丁目１７番９号,京華スクエア南側　　
30,6-4,八丁堀４丁目５番１４号,区立八丁堀第一駐輪場
31,7-1,新川１丁目１２番１号,越前堀児童公園北西側
32,7-2,新川１丁目３１番先,永代橋際南側緑地
33,7-3,新川１丁目３１番４号,新川公園北側
34,7-4,新川２丁目９番１３号,高橋北東児童遊園
35,7-5,新川２丁目１３番４号,明正小学校南側
36,7-6,新川２丁目２５番１１号,於岩稲荷田宮神社駐車場金網
37,8-1,日本橋本石町３丁目１番先,新常盤橋袂
38,8-2,日本橋本町４丁目５番１１号,地蔵橋公園
39,8-3,日本橋本石町４丁目４番２６号,常盤小学校南側
40,8-4,日本橋室町１丁目８番１０号先,江戸橋際鉄柵
41,9-1,日本橋堀留町１丁目１０番２号,椙森神社塀
42,9-2,日本橋堀留町１丁目１番１６号,堀留児童公園東側
43,9-3,日本橋小伝馬町５番１号,十思スクエア南側
44,9-4,日本橋小伝馬町６番１０号先,日本橋小伝馬町６番１０号先緑地
45,10-1,日本橋人形町１丁目１番１７号,日本橋小学校南西側　　　　　
46,10-2,日本橋小網町８番５号先,茅場橋北児童遊園ぺんてるビル側
47,10-3,日本橋小網町９番１号先,小網町児童遊園
48,10-4,日本橋蛎殻町１丁目７番７号,銀杏八幡宮
49,10-5,日本橋蛎殻町１丁目２２番,デュークスカーラ日本橋前緑地
50,10-6,日本橋人形町２丁目３７番,浜町緑道
51,11-1,日本橋蛎殻町２丁目１０番２３号,有馬小学校北東側
52,11-2,日本橋箱崎町３番１号,箱崎川第二公園
53,11-3,日本橋箱崎町１８番１８号,箱崎公園
54,11-4,日本橋箱崎町３７番,箱崎町緑地
55,11-5,日本橋浜町３丁目３７番１号,浜町保育園園庭側
56,11-6,日本橋中洲３番先,中洲３番先緑地
57,11-7,日本橋中洲１４番１号,あやめ第一公園
58,12-1,東日本橋１丁目１０番１号,日本橋中学校入口横
59,12-2,東日本橋２丁目２５番８号先,両国橋児童遊園
60,12-3,東日本橋３丁目１１番３号,東日本橋児童遊園
61,12-4,日本橋久松町７番２号,久松小学校正門側
62,12-5,日本橋浜町２丁目３０番先,浜町公園浜町二丁目３０番先
63,12-6,日本橋浜町２丁目５９番１号,浜町公園南東側
64,13-1,八重洲１丁目１番先,西河岸橋
65,13-2,日本橋１丁目１６番,日本橋１丁目１６番セブンイレブン前緑地
66,13-3,日本橋２丁目３番４号,日本橋プラザビル北東側植込
67,13-4,日本橋茅場町１丁目１４番１４号,茅場橋際南児童遊園
68,13-5,日本橋兜町１１番１５号先,楓川新場橋公園北側
69,14-1,佃１丁目３番先,佃公園
70,14-2,佃１丁目１１番１号,佃児童館（シニアセンター）前
71,14-3,佃１丁目１１番４号,佃公園佃大橋高架下駐車場側
72,14-4,佃２丁目３番２号,佃中学校前緑地
73,14-5,佃１丁目１０番,佃公園佃小橋横鉄柵
74,14-6,佃２丁目２２番先,佃２丁目２２番先緑地相生橋際向かい
75,14-7,佃３丁目６番１８号先,佃３丁目６番１８号先緑地
76,14-8,佃３丁目１１番４号先,石川島公園遊歩道
77,15-1,月島１丁目９番２号,月島スポーツプラザ入口右側
78,15-2,月島１丁目１４番１３号,月島ホームズ
79,15-3,月島２丁目１番,ローソン脇緑地
80,15-4,月島２丁目８番１１号,月島駅前児童遊園
81,16-1,月島４丁目１番１号,月島区民センター北西側
82,16-2,月島４丁目２番１号,月島第一児童公園南東側
83,16-3,月島４丁目１５番１号,月島第一小学校北側
84,17-1,勝どき１丁目５番１号,勝どき敬老館
85,17-2,勝どき１丁目９番８号,月島第二児童公園南側
86,17-3,勝どき１丁目１２番２号,月島第二幼稚園正門右側
87,17-4,勝どき２丁目９番２号,都営勝どき２丁目アパート裏塀
88,17-5,勝どき４丁目３番９号,日本郵便株式会社勝どき社宅南東側植込
89,17-6,勝どき４丁目１２番,日蓮宗東陽院塀
90,18-1,勝どき５丁目２番１９号先,勝どき５丁目親水公園
91,18-2,勝どき５丁目６番,勝どき５丁目緑地
92,18-3,勝どき５丁目１２番４号,東京港管理事務所月島分室塀
93,18-4,勝どき６丁目６番１号,都営勝どき６丁目アパート
94,18-5,豊海町３番１９号,豊海運動公園東側
95,18-6,豊海町３番１９号,豊海運動公園南側
96,18-7,豊海町２丁目１番,豊海町再開発仮囲い
97,19-1,晴海１丁目５番３号,晴海中学校正門横
98,19-2,晴海１丁目８番７号,アーバンプラザ正面右側植込
99,19-3,晴海２丁目１番,春海橋公園北西側晴海一丁目交差点前
100,19-4,晴海２丁目４番２７号,晴海臨海公園
101,19-5,晴海２丁目１番,ＢＲＴ金網（ティアロレジデンス前）
