prefecture,city,number,address,name,lat,long
東京都,中央区,1-1,京橋１丁目１９番１３号先,楓川久安橋公園,35.677349,139.7740739
東京都,中央区,1-2,京橋２丁目１８番１号先,弾正橋北西側欄干,35.6752085,139.7727527
東京都,中央区,1-3,銀座１丁目２番,高速道路入口脇銀座一丁目緑地帯,35.6752981,139.7675242
東京都,中央区,1-4,銀座１丁目２５番２号,京橋公園西側,35.673192,139.7717575
東京都,中央区,1-5,銀座１丁目１６番３号先,銀座１丁目１６番先緑地,35.6741675,139.7707265
東京都,中央区,1-6,新富１丁目２番６号,桜橋ポンプ所,35.6737967,139.7736669
東京都,中央区,1-7,新富２丁目１番先,楓川新富橋公園柵,35.671598,139.772077
東京都,中央区,2-1,銀座５丁目１番１３号,泰明小学校正門右側,35.6723555,139.7615068
東京都,中央区,2-2,銀座８丁目１９番先,築地川千代橋公園北西側緑地,35.6657521,139.7653677
東京都,中央区,2-3,銀座８丁目１９番１５号,銀座中学校入口左側,35.6654563,139.7648086
東京都,中央区,3-1,築地１丁目１番１号,中央区役所南東側,35.6706351,139.7719965
東京都,中央区,3-2,築地２丁目１３番１号,京橋築地小学校南東側,35.6679574,139.7713181
東京都,中央区,3-3,築地４丁目１５番１号,築地社会教育会館正面右側,35.6662565,139.7683112
東京都,中央区,3-4,築地７丁目１９番１号,あかつき公園冒険広場（築地川公園側）,35.6667768,139.7754568
東京都,中央区,3-5,築地７丁目１９番１号,あかつき公園冒険広場,35.6667768,139.7754568
東京都,中央区,3-6,築地７丁目１8番5号,明石町ポンプ所,35.6649071,139.7767522
東京都,中央区,4-1,明石町１番７号,ラ・ヴェール明石町北側緑地,35.6695015,139.7769137
東京都,中央区,4-2,明石町１番,築地川公園(カルバート入口北),35.6689086,139.7757514
東京都,中央区,4-3,明石町４番６号先,グランスイート明石町前明石町緑道,35.6686151,139.7782877
東京都,中央区,4-4,明石町７番８号付近,佃大橋自転車入口横の植込み,35.6676821,139.7795437
東京都,中央区,4-5,明石町１２番１号,あかつき公園植込,35.6667369,139.7765103
東京都,中央区,5-1,入船１丁目１番,桜川公園桜川敬老館側緑地,35.6736465,139.7771893
東京都,中央区,5-2,湊１丁目４番１号,中央小学校南側,35.6721595,139.778733
東京都,中央区,5-3,湊１丁目５番１号,鉄砲洲児童公園西側,35.6718432,139.7793711
東京都,中央区,5-4,湊１丁目８番１０号先,南高橋北東緑地帯,35.6729462,139.780904
東京都,中央区,5-5,湊１丁目１番,桜橋第二ポンプ所鉄柵,35.6735536,139.7791065
東京都,中央区,6-1,八丁堀１丁目１４番７号,亀島橋袂緑地帯,35.6766905,139.779037
東京都,中央区,6-2,八丁堀３丁目１番２０号先,楓川宝橋公園,35.6756822,139.7736745
東京都,中央区,6-3,八丁堀３丁目１７番９号,京華スクエア南側,35.674896,139.7755166
東京都,中央区,6-4,八丁堀４丁目５番１４号,区立八丁堀第一駐輪場,35.6740506,139.7755118
東京都,中央区,7-1,新川１丁目１２番１号,越前堀児童公園北西側,35.6763742,139.7828113
東京都,中央区,7-2,新川１丁目３１番先,永代橋際南側緑地,35.6764883,139.7861947
東京都,中央区,7-3,新川１丁目３１番４号,新川公園北側,35.6758202,139.7863041
東京都,中央区,7-4,新川２丁目９番１３号,高橋北東児童遊園,35.6747901,139.7803348
東京都,中央区,7-5,新川２丁目１３番４号,明正小学校南側,35.6761166,139.7817428
東京都,中央区,7-6,新川２丁目２５番１１号,於岩稲荷田宮神社駐車場金網,35.6747362,139.7831109
東京都,中央区,8-1,日本橋本石町３丁目１番先,新常盤橋袂,35.6871575,139.7699986
東京都,中央区,8-2,日本橋本町４丁目５番１１号,地蔵橋公園,35.6906578,139.7749027
東京都,中央区,8-3,日本橋本石町４丁目４番２６号,常盤小学校南側,35.6882154,139.7701677
東京都,中央区,8-4,日本橋室町１丁目８番１０号先,江戸橋際鉄柵,35.6846111,139.7763962
東京都,中央区,9-1,日本橋堀留町１丁目１０番２号,椙森神社塀,35.6883976,139.7796167
東京都,中央区,9-2,日本橋堀留町１丁目１番１６号,堀留児童公園東側,35.6863742,139.7792962
東京都,中央区,9-3,日本橋小伝馬町５番１号,十思スクエア南側,35.6909163,139.7770622
東京都,中央区,9-4,日本橋小伝馬町６番１０号先,日本橋小伝馬町６番１０号先緑地,35.6915749,139.7774718
東京都,中央区,10-1,日本橋人形町１丁目１番１７号,日本橋小学校南西側,35.684267,139.7813654
東京都,中央区,10-2,日本橋小網町８番５号先,茅場橋北児童遊園ぺんてるビル側,35.6816669,139.7807916
東京都,中央区,10-3,日本橋小網町９番１号先,小網町児童遊園,35.682402,139.780435
東京都,中央区,10-4,日本橋蛎殻町１丁目７番７号,銀杏八幡宮,35.6829105,139.7820385
東京都,中央区,10-5,日本橋蛎殻町１丁目２２番,デュークスカーラ日本橋前緑地,35.6809514,139.7841395
東京都,中央区,10-6,日本橋人形町２丁目３７番,浜町緑道,35.6870722,139.7855377
東京都,中央区,11-1,日本橋蛎殻町２丁目１０番２３号,有馬小学校北東側,35.683193,139.788005
東京都,中央区,11-2,日本橋箱崎町３番１号,箱崎川第二公園,35.6804811,139.7842194
東京都,中央区,11-3,日本橋箱崎町１８番１８号,箱崎公園,35.6797258,139.7862275
東京都,中央区,11-4,日本橋箱崎町３７番,箱崎町緑地,35.6814123,139.7886936
東京都,中央区,11-5,日本橋浜町３丁目３７番１号,浜町保育園園庭側,35.685474,139.7912845
東京都,中央区,11-6,日本橋中洲３番先,中洲３番先緑地,35.6829109,139.7889725
東京都,中央区,11-7,日本橋中洲１４番１号,あやめ第一公園,35.6842568,139.7908168
東京都,中央区,12-1,東日本橋１丁目１０番１号,日本橋中学校入口横,35.6922397,139.7870184
東京都,中央区,12-2,東日本橋２丁目２５番８号先,両国橋児童遊園,35.6941669,139.7875134
東京都,中央区,12-3,東日本橋３丁目１１番３号,東日本橋児童遊園,35.6920955,139.7843093
東京都,中央区,12-4,日本橋久松町７番２号,久松小学校正門側,35.6889321,139.784539
東京都,中央区,12-5,日本橋浜町２丁目３０番先,浜町公園浜町二丁目３０番先,35.6872145,139.7874152
東京都,中央区,12-6,日本橋浜町２丁目５９番１号,浜町公園南東側,35.6878017,139.7893553
東京都,中央区,13-1,八重洲１丁目１番先,西河岸橋,35.6841858,139.7721568
東京都,中央区,13-2,日本橋１丁目１６番,日本橋１丁目１６番セブンイレブン前緑地,35.6822477,139.7766301
東京都,中央区,13-3,日本橋２丁目３番４号,日本橋プラザビル北東側植込,35.68138,139.7721134
東京都,中央区,13-4,日本橋茅場町１丁目１４番１４号,茅場橋際南児童遊園,35.6797545,139.7817477
東京都,中央区,13-5,日本橋兜町１１番１５号先,楓川新場橋公園北側,35.6802542,139.7763106
東京都,中央区,14-1,佃１丁目３番先,佃公園,35.6673707,139.782302
東京都,中央区,14-2,佃１丁目１１番１号,佃児童館（シニアセンター）前,35.6689372,139.784744
東京都,中央区,14-3,佃１丁目１１番４号,佃公園佃大橋高架下駐車場側,35.6688076,139.7827314
東京都,中央区,14-4,佃２丁目３番２号,佃中学校前緑地,35.6682668,139.784539
東京都,中央区,14-5,佃１丁目１０番,佃公園佃小橋横鉄柵,35.66743659999999,139.7838999
東京都,中央区,14-6,佃２丁目２２番先,佃２丁目２２番先緑地相生橋際向かい,35.666495,139.786492
東京都,中央区,14-7,佃３丁目６番１８号先,佃３丁目６番１８号先緑地,35.6644027,139.7853554
東京都,中央区,14-8,佃３丁目１１番４号先,石川島公園遊歩道,35.6637969,139.7871406
東京都,中央区,15-1,月島１丁目９番２号,月島スポーツプラザ入口右側,35.6650432,139.7829412
東京都,中央区,15-2,月島１丁目１４番１３号,月島ホームズ,35.6654526,139.7816598
東京都,中央区,15-3,月島２丁目１番,ローソン脇緑地,35.663826,139.7850983
東京都,中央区,15-4,月島２丁目８番１１号,月島駅前児童遊園,35.6632156,139.7846237
東京都,中央区,16-1,月島４丁目１番１号,月島区民センター北西側,35.6619564,139.7822221
東京都,中央区,16-2,月島４丁目２番１号,月島第一児童公園南東側,35.6617243,139.7831209
東京都,中央区,16-3,月島４丁目１５番１号,月島第一小学校北側,35.6603594,139.7797356
東京都,中央区,17-1,勝どき１丁目５番１号,勝どき敬老館,35.6604369,139.777771
東京都,中央区,17-2,勝どき１丁目９番８号,月島第二児童公園南側,35.659579,139.776041
東京都,中央区,17-3,勝どき１丁目１２番２号,月島第二幼稚園正門右側,35.6602462,139.7760688
東京都,中央区,17-4,勝どき２丁目９番２号,都営勝どき２丁目アパート裏塀,35.6595888,139.7787278
東京都,中央区,17-5,勝どき４丁目３番９号,日本郵便株式会社勝どき社宅南東側植込,35.6573289,139.776632
東京都,中央区,17-6,勝どき４丁目１２番,日蓮宗東陽院塀,35.6569234,139.7750325
東京都,中央区,18-1,勝どき５丁目２番１９号先,勝どき５丁目親水公園,35.6576304,139.7730355
東京都,中央区,18-2,勝どき５丁目６番,勝どき５丁目緑地,35.6581342,139.7711584
東京都,中央区,18-3,勝どき５丁目１２番４号,東京港管理事務所月島分室塀,35.6554852,139.7707124
東京都,中央区,18-4,勝どき６丁目６番１号,都営勝どき６丁目アパート,35.6545841,139.7732951
東京都,中央区,18-5,豊海町３番１９号,豊海運動公園東側,35.65364539999999,139.7716399
東京都,中央区,18-6,豊海町３番１９号,豊海運動公園南側,35.65364539999999,139.7716399
東京都,中央区,18-7,豊海町２丁目１番,豊海町再開発仮囲い,35.6515808,139.7690417
東京都,中央区,19-1,晴海１丁目５番３号,晴海中学校正門横,35.6594956,139.7848586
東京都,中央区,19-2,晴海１丁目８番７号,アーバンプラザ正面右側植込,35.6568565,139.7833242
東京都,中央区,19-3,晴海２丁目１番,春海橋公園北西側晴海一丁目交差点前,35.6572474,139.7853379
東京都,中央区,19-4,晴海２丁目４番２７号,晴海臨海公園,35.6543361,139.7832629
東京都,中央区,19-5,晴海２丁目１番,ＢＲＴ金網（ティアロレジデンス前）,35.6572474,139.7853379
東京都,中央区,19-6,晴海２丁目１番,ＢＲＴ金網（クロノレジデンス前）,35.6572474,139.7853379
東京都,中央区,19-7,晴海１丁目３番29号,晴海橋西交差点鉄柵（月島運動場側）,35.6591494,139.7863356
東京都,中央区,20-1,晴海３丁目１番６号,れいめい橋公園金網,35.6564275,139.7800651
東京都,中央区,20-2,晴海４丁目８番１号,晴海西こども園鉄柵,35.651338,139.7798737
東京都,中央区,20-3,晴海３丁目１１番１０号,区立晴海住宅南西側,35.6542742,139.778732
東京都,中央区,20-4,晴海３丁目３番３号,江間忠駐車場金網,35.654995,139.7806156
東京都,中央区,21-1,晴海５丁目５番６号,朝潮運河親水公園（コミュサイポート前）,35.6492916,139.7721316
東京都,中央区,21-2,晴海５丁目２番２号,中央清掃工場入口金網（ＥＮＥОＳ側）,35.6502575,139.7717873
東京都,中央区,21-3,晴海５丁目２番２号,中央清掃工場入口金網（はるみらい側）,35.6502575,139.7717873
東京都,中央区,21-4,晴海５丁目,黎明大橋下フェンス,35.6490356,139.7741538
